Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;TipusCaligrafia;EstatConservacio;MaterialSuport;Pagines
88255;Book with lacquer covers;Iran;1819;Il·luminacio|Transcripcio;https://www.artic.edu/iiif/2/a6b9d165-f40b-bbd7-af13-e6524e218a05/full/843,/0/default.jpg;Castellà;10000;Gòtica;Delicat;Pasteboard and leather, painted with opaque watercolor and gold under lacquer;27
45507;Saint Dominic in a Historiated Initial G from an Antiphonary;Italian (Rimini) Neri da Rimini (Italian, active 1300-1338);1310;Codicologia|AnotacionsMarginals|Paleografia|Datació|Incipit;https://www.artic.edu/iiif/2/777d2605-01c9-c64c-25e6-6dd1d9d09b07/full/843,/0/default.jpg;Grec;5000;Gòtica;Excel·lent;Manuscript cutting in tempera and gold leaf, with gothica textualis inscriptions in Latin in black ink, ruled in red, and with other decorations, on parchment;159
71521;Book of Hours for the Use of Limoges;Master of Catherine Gentille French, active in Limoges, c. 1480-1510;1480;;https://www.artic.edu/iiif/2/66c5e954-0b47-a126-9d59-5a3c38deb03c/full/843,/0/default.jpg;Castellà;500;Carolina;Necessita restauració;Manuscript with 182 folios, 11 miniatures, 15 historiated initials and other decorations in tempera, gold leaf and colored inks, and littera textualis inscriptions in Latin and French, in light black ink, ruled in red, on parchment, bound in leather stamped with various designs;305
158107;Page from a Manuscript with Images of Auspicious Animals and Offerings;Mongolia;19;Filigrana|Il·luminacio|Paleografia|EstatDeConservacio|AnotacionsMarginals;https://www.artic.edu/iiif/2/aff6cced-c857-f985-e5e0-5627e3c7dc67/full/843,/0/default.jpg;Castellà;2000;Gòtica;Regular;Ink and opaque watercolor on paper;122
95393;The Annunciation in a Historiated Initial M from an Antiphonary;Italian (Lombardy);15;Datació|SuportMaterial|Codicologia;https://www.artic.edu/iiif/2/2c22a857-d68f-d8f6-e60a-7db4fbb116c4/full/843,/0/default.jpg;Llatí;1000;Uncial;Excel·lent;Manuscript cutting in tempera and gold leaf on parchment, with gothica textura inscriptions in brown black ink, verso;299
146856;Book Cover for a Manuscript of the Perfection of Wisdom (Ashtashasrika Prajnaparamita) Sutra;Tibet South Central Tibet;14;;https://www.artic.edu/iiif/2/cf5994b4-0ef2-3fd8-ee84-13252a6dbe2d/full/843,/0/default.jpg;Llatí;1000;Uncial;Regular;Wood with traces of red pigment and gilding;350
154243;Page from a Buddhist Manuscript;Western Tibet Guge;1314;Incipit;https://www.artic.edu/iiif/2/e041e5e9-14b7-26d8-cb46-d7d9838652e9/full/843,/0/default.jpg;Català;5000;Gòtica;Bo;Ink, colors, and gold on paper;280
87564;The Illuminated Border of Animals, double page from a copy of the Gulistan of Sa'di;Iran;1501;Il·luminacio|Cal·ligrafia;https://www.artic.edu/iiif/2/6017b234-21e9-799d-58c4-300c47fba6ab/full/843,/0/default.jpg;Llatí;1000;Humanística;Excel·lent;Opaque watercolor, gold, and ink on paper;312
77015;The Ascension of St. Dominic in a Historiated Initial G from a Gradual;German (Cologne) follower of Johannes von Valkenburg (German, flourished 1299);1325;Cal·ligrafia|Datació;https://www.artic.edu/iiif/2/f4d07254-5a78-d32d-0385-5d6c99749332/full/843,/0/default.jpg;Àrab;1000;Humanística;Necessita restauració;Manuscript cutting with tempera and gold leaf, and gothic miniscule script inscriptions in black ink, ruled in red ink, on vellum;129
131981;Horae Beatae Mariae Virginis;French (possibly Besançon);1460;Incipit|Cal·ligrafia|Filigrana|AnotacionsMarginals|Codicologia|Paleografia;https://www.artic.edu/iiif/2/9752f9d0-76ad-e9bf-eebe-78f5b3aae385/full/843,/0/default.jpg;Català;10000;Uncial;Bo;Manuscript with 88 folios, 13 miniatures and other decorations in tempera and gold leaf, with Latin littera textualis inscriptions in brown black ink, ruled in red, on parchment bound in golden brown morocco, gold-tooled, over pasteboard, with gilt edges (semé) and laid paper end papers;72
235544;Christ Blessing Three Young Men, initial M from a Gradual;Maestro Daddesco Italian (Florence), active about 1310-1350;1320;Datació|Filigrana|Autografia|AnotacionsMarginals|Incipit|Cal·ligrafia;https://www.artic.edu/iiif/2/1e0e9213-dc57-f351-a6d1-922645e40f4c/full/843,/0/default.jpg;Castellà;500;Gòtica;Necessita restauració;Opaque watercolor, with shell gold and gold leaf, on parchment;67
107336;Shepherds on Their Way to the Nativity from a Book of Hours;French (Tours) possibly follower of Jean Poyet (French, c. 1483-1497);1495;Paleografia|Datació|Cal·ligrafia|Filigrana|Codicologia;https://www.artic.edu/iiif/2/7bb8c5bd-9697-eba4-3b45-cafc07b23b66/full/843,/0/default.jpg;Castellà;500;Cursiva;Regular;Manuscript cutting in paint, brush and liquid gold and lead white on parchment, laid down on paper board;129
181615;Figure with Scythe, Illuminated Initials KL or BV recto, and Fish with Lobster Claws, verso, from a Psalter or Book of Hours;Flemish (probably Liège, possibly Benedictine);1275;AnotacionsMarginals|Paleografia|Incipit|Autografia|Codicologia|SuportMaterial;https://www.artic.edu/iiif/2/cbdba9f4-b53d-692c-9272-c65a91541f86/full/843,/0/default.jpg;Grec;1000;Carolina;Bo;Manuscript cutting with decorations in tempera and gold leaf, and with inscriptions in dark brown, red and blue ink, ruled in dark brown ink, on vellum;94
184661;Manuscript Cover with Buddha, Two Bodhisattvas and Two Protective Deities (Lokapalas);Nepal;1575;Il·luminacio|Incipit;https://www.artic.edu/iiif/2/78cb57c4-3fa4-13df-4bff-83c69d24bdaf/full/843,/0/default.jpg;Català;2000;Cursiva;Delicat;Pigments on wood;348
45501;Nimbed Saint in a Historiated Initial I from an Antiphonary;Italian (Rimini) Neri da Rimini (Italian, active 1300-1338);1310;Cal·ligrafia|Il·luminacio|SuportMaterial|Incipit;https://www.artic.edu/iiif/2/80b08d85-1032-5795-4553-e959dec26953/full/843,/0/default.jpg;Grec;2000;Carolina;Delicat;Manuscript cutting in tempera and gold leaf, with gothica textualis inscriptions in Latin in black ink, ruled in red ink, and with other decorations, on parchment;296
154245;Page from a copy of the Qur'an;India;1415;EstatDeConservacio;https://www.artic.edu/iiif/2/de14c625-945d-c28e-2b8a-559f3d1e30af/full/843,/0/default.jpg;Català;500;Carolina;Excel·lent;Ink, colors, and gold on paper;397
80546;Figure of Justice and Shield with Lions Rampant;European;0;Incipit|Transcripcio|Filigrana|Autografia|Paleografia|Codicologia;https://www.artic.edu/iiif/2/d0ed4d65-1630-e096-3d44-bdecdaa7af7e/full/843,/0/default.jpg;Àrab;10000;Cursiva;Excel·lent;Manuscript cutting with gouache and gold paint, gold leaf, and pen and black and brown ink on vellum;235
80901;Leaf from a Picture Cycle: Christ Carrying the Cross, The Crucifixion, The Descent from the Cross, and the Entombment;French Painter, active in Northern France;1325;Datació|Incipit|Transcripcio;https://www.artic.edu/iiif/2/53be6341-8e53-9d7f-a31f-785ee82c6383/full/843,/0/default.jpg;Grec;2000;Carolina;Bo;Opaque watercolor, gold leaf and mordant gilding with French inscriptions in gothica textualis in pen and light brown, red and blue ink, on parchment;284
158102;Final Page and Back Cover of Buddhist Manuscript With Four Guardian Kings;Mongolia;1718;Il·luminacio;https://www.artic.edu/iiif/2/7a52287e-1aec-9ba2-cfea-9e510593fef0/full/843,/0/default.jpg;Àrab;10000;Gòtica;Regular;Wood, ink, opaque watercolor, and gold on paper, with silk border and dust cover;73
108852;Page from a manuscript in Nasta'liq with an illuminated border;Iran;1501;Autografia|Paleografia|Incipit|Codicologia|EstatDeConservacio;https://www.artic.edu/iiif/2/597417f2-19a1-7d47-2237-c4792f6f855c/full/843,/0/default.jpg;Català;1000;Carolina;Delicat;Ink, opaque watercolor, and gold on paper;89
131871;Illuminated Initial A from a Psalter or Breviary;German or Southern Netherlandish (Bruges);1450;Autografia|Datació|Filigrana;https://www.artic.edu/iiif/2/0d128aed-015a-1fac-e013-a2e1a1a9eeda/full/843,/0/default.jpg;Llatí;10000;Carolina;Excel·lent;Manuscript cutting in tempera and gold leaf, with Latin inscriptions in brown and red ink, unruled, on vellum;464
102614;The Adoration of the Magi in a Historiated Initial E from a Choirbook;Italian (Florence);1375;Cal·ligrafia|SuportMaterial|Filigrana|AnotacionsMarginals|Paleografia|Datació;https://www.artic.edu/iiif/2/1fc6b459-07c2-c452-cae5-dbed0b5fe2fe/full/843,/0/default.jpg;Àrab;10000;Cursiva;Regular;Manuscript cutting in tempera and gold leaf, with gothica textualis inscriptions in Latin in black ink, ruled in black and red ink, on parchment;307
158111;Page from a Manuscript with Diagrams Protecting against Children's Illnesses;Tibet;19;Datació|Il·luminacio|Incipit|EstatDeConservacio|Filigrana|Codicologia;https://www.artic.edu/iiif/2/cc44f4fd-5a54-9c17-bad9-50cd6f4878fc/full/843,/0/default.jpg;Castellà;1000;Cursiva;Bo;Ink and watercolor on paper;357
71527;The Virgin Adored by Saints in a Historiated Initial R from an Antiphonary;Italian (Lombardy);15;Transcripcio;https://www.artic.edu/iiif/2/67cf215c-9bc7-732a-b96a-2b95965742b8/full/843,/0/default.jpg;Grec;10000;Gòtica;Necessita restauració;Manuscript cutting in tempera and gold leaf on parchment, with gothica textura inscriptions in brownish-black, verso;346
184667;One of a Pair of Magical Charms (Dharani) Manuscript Covers;Nepal;18;SuportMaterial|Incipit|Transcripcio;https://www.artic.edu/iiif/2/67fed7f6-f375-6361-7004-cf266fc6d57a/full/843,/0/default.jpg;Castellà;5000;Humanística;Bo;Pigment and metallic paint on wood;211
154246;Page from a copy of the Qur'an;India;1415;SuportMaterial|Il·luminacio|Incipit|Filigrana|EstatDeConservacio;https://www.artic.edu/iiif/2/65c008ad-5b12-cabe-81f1-97ec203e0472/full/843,/0/default.jpg;Grec;10000;Uncial;Regular;Ink, colors, and gold on paper;211
