Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;Tecnica;NumeroSerie;DimensionsFisiques
14688;The Last Drop;Charles Joseph Hullmandel (English 1789-1850) after Thomas Rowlandson (English, 1756-1827);1182;;https://www.artic.edu/iiif/2/9942d5ce-3d6e-7820-0c59-472889350fc5/full/843,/0/default.jpg;Anglès;500;Galeria d'Art;978-2-21559-540-3;2;Lithograph on paper;37;50x70 cm
151237;Etching on Etching, from V-IDEA a priori;Nam June Paik American, born Korea, 1932-2006;1984;EstampacioManual|Registra|GravatEnRelleu|Entintat|NumeracioIAsignatura;https://www.artic.edu/iiif/2/e47cdf54-120e-90be-cb50-59cac1f86c19/full/843,/0/default.jpg;Castellà;750;Galeria d'Art;978-1-78263-849-8;2;Color aquatint and etching on ivory wove paper;83;40x50 cm
11915;Haunt of the Heron;Allen Erskine Philbrick American, 1879-1964;0;Aiguafort|Entintat;https://www.artic.edu/iiif/2/f5b20a1a-41fb-010b-8022-cbc9c8471f79/full/843,/0/default.jpg;Castellà;100;Editorial d'Art;978-8-97242-131-6;1;Etching in black on cream wove paper;29;20x30 cm
19269;Invitation;Arthur Thrall American, 1926-2015;1963;NumeracioIAsignatura|PremsaTòrcul;https://www.artic.edu/iiif/2/82a5c640-b997-b006-73d5-6425f158357e/full/843,/0/default.jpg;Castellà;750;Institut Gràfic;978-4-18937-316-5;2;Lift-ground aquatint and etching in black on ivory wove paper;76;30x40 cm
11096;Sketches of Four Heads and a Child;Umberto Boccioni Italian, 1882-1916;1907;GravatEnRelleu|Aiguafort|NumeracioIAsignatura;https://www.artic.edu/iiif/2/0c3c4603-73f4-50e5-5af6-04cff1fde3ad/full/843,/0/default.jpg;Castellà;1000;Galeria d'Art;978-7-23355-193-2;1;Etching on ivory wove paper;51;20x30 cm
66163;Letter on the Elements of Etching;Adolphe Martial Potémont (French, 1828-1883) published by Editeurs Cadart & Luquet (French, 19th century) printed by Imprimerie Bullet et Forestier (French, active 19th century);1864;Entintat|MatriuOriginal|Aiguafort|PuntaSeca|PremsaTòrcul|EstampacioManual;https://www.artic.edu/iiif/2/59a36103-a187-5aba-a4a6-d3c0a3640a7c/full/843,/0/default.jpg;Català;250;Editorial d'Art;978-9-93728-153-8;1;Etching and drypoint on tan wove paper, folded in half to make a cover;2;40x50 cm
18709;The Frugal Meal, from The Saltimbanques;Pablo Picasso (Spanish, 1881-1973) printed by Eugène Delâtre (French, 1864-1938);1904;Incisió|TiratgeLimitat|PremsaTòrcul|Registra|Entintat;https://www.artic.edu/iiif/2/bf1f0174-0711-c3f8-f188-8192022c3257/full/843,/0/default.jpg;Italià;750;Editorial d'Art;978-5-72261-866-9;1;Etching on zinc in blue-green on ivory laid paper (discolored to cream);56;20x30 cm
7681;The Cowherd;Claude Lorrain French, 1600-1682;1636;EstampacioManual|Incisió|GravatEnRelleu;https://www.artic.edu/iiif/2/54d2643a-84fa-a704-4117-3ef2ed2c1e8a/full/843,/0/default.jpg;Anglès;500;Institut Gràfic;978-4-45595-351-1;2;Etching on ivory laid paper;21;40x50 cm
11876;Pavia;Donald Shaw MacLaughlan American, born Canada, 1876-1938;1904;;https://www.artic.edu/iiif/2/9b6a5f7c-4736-d43c-8527-ecf123164ca1/full/843,/0/default.jpg;Anglès;1000;Museu Nacional;978-5-31337-605-7;1;Etching in black on cream wove paper;96;20x30 cm
18605;Head of a Young Black Boy in Profile to Right;Wenceslaus Hollar Bohemian, 1607-1677;1645;ProvaDEstat|Incisió|GravatEnRelleu;https://www.artic.edu/iiif/2/6f2f46eb-2ee6-0010-6442-591e1d7c8935/full/843,/0/default.jpg;Italià;1000;Editorial d'Art;978-3-88593-403-3;2;Etching on ivory laid paper;9;30x40 cm
7364;The Giant Wheel, plate 9 from Imaginary Prisons;Giovanni Battista Piranesi Italian, 1720-1778;1761;PremsaTòrcul|PuntaSeca|TiratgeLimitat|EstampacioManual|ProvaDEstat|MatriuOriginal;https://www.artic.edu/iiif/2/6a1f1c8a-d515-6ba7-3b18-2b21c2d48806/full/843,/0/default.jpg;Francès;500;Editorial d'Art;978-7-34799-556-5;1;Etching and engraving on heavy ivory laid paper;67;20x30 cm
60065;Minotauromachia;Pablo Picasso (Spanish, 1881-1973) printed by Roger Lacourière (French, 1892-1966);2331;MatriuOriginal;https://www.artic.edu/iiif/2/1027525b-fa4f-cf92-1d70-e43bf9effe44/full/843,/0/default.jpg;Francès;750;Institut Gràfic;978-7-71720-996-2;2;Etching, with scraping and engraving, on copper in black on ivory laid paper;26;40x50 cm
12009;A Passing Funeral;Walter Richard Sickert British, 1860-1942;1912;NumeracioIAsignatura|Incisió|Aiguafort;https://www.artic.edu/iiif/2/f2bf7b31-6825-87e9-48df-3933889a9cd3/full/843,/0/default.jpg;Castellà;1000;Institut Gràfic;978-3-51327-186-5;2;Soft ground etching on cream wove paper;57;50x70 cm
3164;Le Couple;Stanley William Hayter American, born England, 1901-1988;1952;Registra|MatriuOriginal|GravatEnRelleu|TiratgeLimitat;https://www.artic.edu/iiif/2/051e714f-e8b8-ff0a-56c3-280a294ffbdb/full/843,/0/default.jpg;Anglès;750;Editorial d'Art;978-4-29735-183-7;2;Color engraving, soft ground etching, and scorper white wove paper;67;30x40 cm
50091;Night on the El Train;Edward Hopper American, 1882-1967;1918;PuntaSeca|EstampacioManual|NumeracioIAsignatura;https://www.artic.edu/iiif/2/21bd734d-9181-7bec-14a6-74618dbc5ecb/full/843,/0/default.jpg;Anglès;250;Institut Gràfic;978-8-49152-107-6;1;Etching on off-white wove paper;38;40x50 cm
2089;View of the Port of St.Paul, Paris;Charles-Melchior Descourtis (French, 1753-1820) after Pierre Antoine de Machy (French, 1723-1807);1784;;https://www.artic.edu/iiif/2/64ba3ee5-a32e-1837-9fc2-d0023e06d90c/full/843,/0/default.jpg;Francès;1000;Museu Nacional;978-5-47955-634-3;1;Etching and engraving printed in color from at least four plates on ivory laid paper;14;50x70 cm
15108;Feste Bacchique, plate 97 from  L'Oeuvre d'Antoine Watteau;Jean Moyreau (French, 1690-1762) after Jean Antoine Watteau (French, 1684-1721);1729;TiratgeLimitat|PuntaSeca|ProvaDEstat;https://www.artic.edu/iiif/2/6fb66c9f-468d-2511-bed1-513618dea89f/full/843,/0/default.jpg;Anglès;100;Museu Nacional;978-2-30249-454-3;2;Etching in black on ivory laid paper;94;40x50 cm
6592;Two Girls;Marie Laurencin French, 1885-1956;0;MatriuOriginal|Registra|Entintat;https://www.artic.edu/iiif/2/d8c038de-e257-b1e3-3c31-613ca394a01f/full/843,/0/default.jpg;Italià;100;Institut Gràfic;978-7-72953-196-0;2;Etching in red and orange on white wove paper;4;20x30 cm
14787;Venise;Robert Lapoujade French, 1921-1993;1959;ProvaDEstat|Incisió|GravatEnRelleu|PuntaSeca|MatriuOriginal;https://www.artic.edu/iiif/2/4faadcdc-e9fa-bd6c-44c2-cb4dec9ba4b1/full/843,/0/default.jpg;Anglès;500;Institut Gràfic;978-9-61619-676-0;2;Color etching on paper;92;50x70 cm
2109;Portrait of Edmond de Goncourt;Felix Bracquemond French, 1833–1914;1882;GravatEnRelleu|Incisió|PremsaTòrcul;https://www.artic.edu/iiif/2/591dd7e9-caef-9c00-6c9d-7a5bc7fa0e85/full/843,/0/default.jpg;Francès;250;Editorial d'Art;978-9-13678-336-4;1;Etching on cream wove paper;57;50x70 cm
11735;Tour de Beurre, Rouen;Donald Shaw MacLaughlan American, born Canada, 1876-1938;1899;MatriuOriginal|NumeracioIAsignatura;https://www.artic.edu/iiif/2/28c07376-c2e7-01cf-7c13-b8f513a55bdf/full/843,/0/default.jpg;Francès;100;Institut Gràfic;978-2-14740-885-2;2;Etching in black on cream laid paper;69;30x40 cm
41742;Bather (Evening) I (Zinc etching);Anders Zorn Swedish, 1860-1920;1896;NumeracioIAsignatura|EstampacioManual|Incisió|PuntaSeca|PremsaTòrcul;https://www.artic.edu/iiif/2/87f7c217-f2cf-723c-8ff7-a01e207275d2/full/843,/0/default.jpg;Italià;250;Institut Gràfic;978-1-18902-722-5;1;Etching on tan wove paper;1;40x50 cm
4583;Railway Encroachment;Francis Seymour Haden English, 1818-1910;1864;;https://www.artic.edu/iiif/2/2ab2e9bc-70b1-798d-82f5-c121f970f9e9/full/843,/0/default.jpg;Anglès;250;Institut Gràfic;978-6-97405-333-7;1;Etching on ivory laid paper;63;30x40 cm
44743;The Sleep of Reason Produces Monsters, plate 43 from Los Caprichos;Francisco José de Goya y Lucientes Spanish, 1746-1828;1797;Incisió|MatriuOriginal|PremsaTòrcul|Registra;https://www.artic.edu/iiif/2/b2272f4e-1221-9321-6973-2d93d5babbf0/full/843,/0/default.jpg;Castellà;1000;Institut Gràfic;978-1-85905-952-7;2;Etching and aquatint on ivory laid paper;62;50x70 cm
